Tier,Keyword,Category,Monthly volume (US),Competition,CPC (USD),Intent,Funnel stage,Recommended use case,Notes
T1,explainable AI in finance,Explainable & Auditable AI,6600,0.18,6.05,Commercial,MOFU,"Landing page H1, pillar page","Anchor target. Low competition, no Q2C vendor in top 10."
T1,AI in finance,AI for Finance (broad),4400,0.66,7.88,Informational,TOFU,"Pillar page, blog",Head term. SERP dominated by editorial content.
T1,finance AI,AI for Finance (broad),4400,0.66,7.88,Informational,TOFU,"Pillar page, blog",Synonym of above; cover same intent.
T1,AI for finance,AI for Finance (broad),2400,0.66,7.88,Commercial,MOFU,"Landing page H2, solution page","High commercial value. Use in body, H2s."
T1,AI for accounting,AI for Accounting,1600,0.68,9.08,Commercial,MOFU,"Solution page, blog cluster",Strong secondary. Mix of educational + product SERP.
T1,accounting AI,AI for Accounting,3600,0.68,9.08,Informational,TOFU,"Pillar page, blog",Head term for accounting cluster.
T1,AI in accounting,AI for Accounting,2400,0.68,9.08,Informational,TOFU,"Pillar page, blog",Same intent as 'accounting AI'.
T1,AI in financial services,AI for Finance (broad),1300,0.48,9.29,Commercial,MOFU,"Solution page, blog",Banking-leaning intent. Address in FAQ + related content.
T1,AI agents in finance,AI Agents in Finance,590,0.41,11.47,Commercial,BOFU,"Landing page H1, solution page",Direct match to product. Moderate competition.
T1,AI agents for finance,AI Agents in Finance,210,0.41,12.01,Commercial,BOFU,"Landing page H1, ad copy",Exact phrase the assignment uses. Must be on page.
T1,AI invoice automation,AI Invoice & AP Automation,390,0.25,22.71,Commercial,BOFU,"Capability page, ad copy",Low competition + very high CPC. Strong quick win.
T1,AI billing,AI Billing & Subscription,210,0.14,14.25,Commercial,BOFU,"Capability page, ad copy",Very low competition. Outranks BillingPlatform at scale.
T1,artificial intelligence in finance,AI for Finance (broad),1900,0.66,7.88,Informational,TOFU,"Pillar page, glossary",Long-form synonym. Same intent as 'AI in finance'.
T1,AI in accounting and finance,AI for Accounting,880,0.54,9.38,Commercial,MOFU,"Pillar page, solution page",Bridges accounting + finance clusters.
T1,AI for financial services,AI for Finance (broad),720,0.48,9.29,Commercial,MOFU,Solution page,Lower-volume variant of 'AI in financial services'.
T2,AI for financial analysis,AI for Finance (broad),1000,0.62,9.87,Commercial,MOFU,"Blog, capability page",Analyst use cases. Map to allocations + audit response.
T2,AI applications in finance,AI for Finance (broad),390,0.34,8.49,Informational,TOFU,"Blog, pillar page",Low competition educational query.
T2,AI use cases in finance,AI for Finance (broad),170,0.4,9.74,Informational,TOFU,"Blog, pillar page",Strong fit for case-study + capability content.
T2,AI cfo,AI for CFO / Finance Leaders,390,0.75,13.67,Commercial,MOFU,"Solution page, persona LP",Persona-led search. High CPC.
T2,AI for cfo,AI for CFO / Finance Leaders,90,0.65,21.23,Commercial,BOFU,"Persona LP, ad copy",Premium CPC = strong commercial intent.
T2,agentic AI in finance,Agentic AI for Finance,140,0.83,9.95,Commercial,BOFU,"Landing page, blog",Direct category claim. Worth claiming first.
T2,agentic AI finance,Agentic AI for Finance,90,0.84,146.56,Commercial,BOFU,"Landing page, ad copy","Highest CPC ($146) in cluster. Small audience, real budget."
T2,agentic AI in financial services,Agentic AI for Finance,140,0.57,15.89,Commercial,MOFU,"Solution page, blog",Broader services framing.
T2,agentic AI financial services,Agentic AI for Finance,90,0.26,10.07,Commercial,MOFU,"Blog, capability page",Low competition; emerging term.
T2,agentic AI in banking,Agentic AI for Finance,170,0.44,12.18,Commercial,MOFU,Blog cluster,Adjacent vertical. Banking case studies.
T2,AI for finance and accounting,AI for Finance (broad),170,0.74,15.78,Commercial,MOFU,"Pillar page, blog",High CPC + bridges two clusters.
T2,AI tools for finance,AI for Finance (broad),260,0.47,8.92,Commercial,MOFU,"Listicle blog, comparison page",Comparison intent. Counter against AI-native tools.
T2,AI tools for accounting,AI for Accounting,480,0.19,17.7,Commercial,MOFU,"Listicle blog, comparison page",Very low competition. Quick win.
